R1,R2,G1,G2,B1,B2,H1,H2,S1,S2,V1,V2,diff_R,diff_G,diff_B,diff_H,diff_S,diff_V,ratio_R,ratio_G,ratio_B,ratio_H,ratio_S,ratio_V,layer_count
248,255,121,150,86,82,0.0335195530726257,0.0670391061452514,0.6549019607843137,0.6784313725490196,0.9725490196078432,1.0,-7,-29,4,-0.0335195530726257,-0.02352941176470591,-0.027450980392156765,0.972549019569704,0.8066666666128889,1.0487804876769782,0.4999999254166778,0.9653179048464701,0.9725490098823532,4
249,255,120,153,88,79,0.0335195530726257,0.0726256983240223,0.6470588235294118,0.6901960784313725,0.976470588235294,1.0,-6,-33,9,-0.0391061452513966,-0.04313725490196074,-0.02352941176470602,0.9764705881970012,0.7843137254389337,1.1139240504919083,0.46153839798817475,0.9374999864169036,0.9764705784705883,4
249,255,121,150,84,82,0.0391061452513966,0.0670391061452514,0.6627450980392157,0.6784313725490196,0.976470588235294,1.0,-6,-29,2,-0.027932960893854795,-0.015686274509803977,-0.02352941176470602,0.9764705881970012,0.8066666666128889,1.0243902437775134,0.5833332463194567,0.9768785983176852,0.9764705784705883,4
249,254,120,152,89,78,0.0335195530726257,0.0726256983240223,0.6431372549019608,0.6941176470588235,0.976470588235294,0.996078431372549,-5,-32,11,-0.0391061452513966,-0.050980392156862675,-0.019607843137255054,0.9803149605913262,0.7894736841585872,1.1410256408793558,0.46153839798817475,0.9265536589677298,0.9803149507881764,4
250,255,121,154,89,82,0.0335195530726257,0.0670391061452514,0.6431372549019608,0.6784313725490196,0.9803921568627452,1.0,-5,-33,7,-0.0335195530726257,-0.03529411764705881,-0.019607843137254832,0.9803921568242984,0.7857142856632653,1.085365853526175,0.4999999254166778,0.9479768646396474,0.9803921470588237,4
248,255,124,153,86,79,0.0391061452513966,0.0726256983240223,0.6549019607843137,0.6901960784313725,0.9725490196078432,1.0,-7,-29,7,-0.0335195530726257,-0.03529411764705881,-0.027450980392156765,0.972549019569704,0.8104575162868981,1.0886075947989104,0.5384614643195366,0.9488636226158963,0.9725490098823532,4
251,255,127,156,89,81,0.0391061452513966,0.0726256983240223,0.6470588235294118,0.6823529411764706,0.984313725490196,1.0,-4,-29,8,-0.0335195530726257,-0.03529411764705881,-0.015686274509803977,0.9843137254515955,0.814102564050378,1.0987654319631155,0.5384614643195366,0.9482758481718194,0.9843137156470589,4
251,255,128,159,87,82,0.0391061452513966,0.0726256983240223,0.6549019607843137,0.6784313725490196,0.984313725490196,1.0,-4,-31,5,-0.0335195530726257,-0.02352941176470591,-0.015686274509803977,0.9843137254515955,0.8050314464902496,1.0609756096267104,0.5384614643195366,0.9653179048464701,0.9843137156470589,4
252,254,126,158,88,84,0.0391061452513966,0.0726256983240223,0.6509803921568628,0.6705882352941176,0.9882352941176472,0.996078431372549,-2,-32,4,-0.0335195530726257,-0.019607843137254832,-0.007843137254901822,0.9921259842129084,0.797468354379907,1.0476190474943312,0.5384614643195366,0.9707602194418798,0.9921259742916487,4
253,255,127,159,89,85,0.0391061452513966,0.0726256983240223,0.6470588235294118,0.6666666666666666,0.992156862745098,1.0,-2,-32,4,-0.0335195530726257,-0.019607843137254832,-0.007843137254902044,0.9921568627061899,0.7987421383145444,1.0470588234062284,0.5384614643195366,0.9705882207352944,0.9921568528235295,4
255,255,129,159,89,85,0.0391061452513966,0.0726256983240223,0.6509803921568628,0.6666666666666666,1.0,1.0,0,-30,4,-0.0335195530726257,-0.015686274509803866,0.0,0.9999999999607843,0.8113207546659547,1.0470588234062284,0.5384614643195366,0.9764705735882355,0.9999999900000002,4
253,253,126,156,91,77,0.0335195530726257,0.0726256983240223,0.6392156862745098,0.6941176470588235,0.992156862745098,0.992156862745098,0,-30,14,-0.0391061452513966,-0.05490196078431375,0.0,0.9999999999604743,0.8076923076405325,1.181818181664699,0.46153839798817475,0.9209039415349997,0.9999999899209486,4
248,255,119,148,62,58,0.0502793296089385,0.0782122905027933,0.7490196078431373,0.7725490196078432,0.9725490196078432,1.0,-7,-29,4,-0.027932960893854795,-0.02352941176470591,-0.027450980392156765,0.972549019569704,0.8040540539997261,1.0689655170570749,0.6428570606632753,0.9695431346581979,0.9725490098823532,4
250,255,121,152,64,60,0.0502793296089385,0.0782122905027933,0.7450980392156863,0.7647058823529411,0.9803921568627452,1.0,-5,-31,4,-0.027932960893854795,-0.019607843137254832,-0.019607843137254832,0.9803921568242984,0.7960526315265755,1.0666666664888889,0.6428570606632753,0.9743589616173572,0.9803921470588237,4
249,255,123,155,64,61,0.0558659217877094,0.0837988826815642,0.7411764705882353,0.7607843137254902,0.976470588235294,1.0,-6,-32,3,-0.027932960893854802,-0.019607843137254832,-0.02352941176470602,0.9764705881970012,0.7935483870455775,1.0491803276968557,0.6666665871111198,0.974226791318153,0.9764705784705883,4
246,255,119,150,64,58,0.0502793296089385,0.0782122905027933,0.7411764705882353,0.7725490196078432,0.9647058823529412,1.0,-9,-31,6,-0.027932960893854795,-0.03137254901960784,-0.03529411764705881,0.9647058823151096,0.7933333332804444,1.1034482756718194,0.6428570606632753,0.9593908505256513,0.9647058727058825,4
247,255,121,149,63,61,0.0502793296089385,0.0782122905027933,0.7450980392156863,0.7607843137254902,0.9686274509803922,1.0,-8,-28,2,-0.027932960893854795,-0.015686274509803866,-0.03137254901960784,0.9686274509424068,0.8120805368582495,1.0327868850765922,0.6428570606632753,0.9793814304256565,0.9686274412941178,4
250,255,126,153,66,61,0.0558659217877094,0.0782122905027933,0.7372549019607844,0.7607843137254902,0.9803921568627452,1.0,-5,-27,5,-0.0223463687150839,-0.0235294117647058,-0.019607843137254832,0.9803921568242984,0.8235294117108803,1.0819672129373825,0.7142856229591941,0.9690721522106496,0.9803921470588237,4
